,ID,X1,X2,X3,Z1,Z2,A,B,Y,cluster
0,1001,6.44,2.0,1.0,5,16.0,738,0.0,11.0,2
1,1003,18.5,3.0,2.5,108,64.0,11415,205302.1,21.0,1
2,1004,4.32,1.0,0.5,0,6.0,561,0.0,7.0,2
3,1007,27.19,7.84,17.2,311,56.0,24080,6779819.09,16.0,0
4,1009,16.71,4.0,2.0,679,134.0,12418,178457.41,13.0,1
5,1010,12.5,2.0,1.5,55,5.0,6159,1170743.34,5.0,2
6,1011,22.31,5.0,13.0,129,39.0,9796,6071588.39,10.5,0
7,1012,22.0,3.0,3.0,912,70.0,10978,33206.96,28.0,1
8,1013,3.2,3.0,1.0,11,52.0,1305,192741.55,6.0,2
9,1014,32.07,13.99,5.0,286,84.0,19672,69619.76,63.0,1
10,1016,9.64,2.0,2.0,78,39.0,6630,232810.02,8.0,2
11,1017,27.15,1.0,4.0,186,47.0,7550,86340.77,41.0,1
12,1018,20.9,3.0,4.85,247,259.0,7585,1781352.11,42.0,1
13,1022,5.5,3.0,1.0,94,0.0,1699,0.0,13.0,2
14,1024,10.0,3.81,2.0,67,11.0,8209,468362.28,7.0,2
15,1025,31.3,11.07,3.0,129,269.0,16055,254843.96,43.0,1
16,1026,18.28,0.0,23.5,29,3.0,602,0.0,5.0,1
17,1028,33.0,20.77,5.0,609,316.0,31506,1649033.51,47.0,0
18,1029,27.62,8.0,18.14,617,145.0,27054,6762738.12,16.0,0
19,1030,11.9,3.0,1.0,73,27.0,8205,121236.84,28.0,2
20,1031,32.65,8.0,13.35,207,56.0,12929,5615095.91,24.0,0
21,1032,17.15,7.87,12.5,643,99.0,11067,6779819.09,26.0,0
22,1033,24.95,1.0,2.0,608,77.0,7314,236621.05,26.0,1
23,1034,41.98,3.0,15.0,1311,224.0,18310,7907924.12,37.0,0
24,1035,11.88,1.98,8.0,15,13.0,937,673244.42,10.0,2
25,1036,16.12,1.0,2.0,173,191.0,7818,668723.91,17.0,1
26,1037,11.9,8.85,12.0,298,,4090,1837264.77,19.0,1
27,1038,19.65,1.0,2.0,239,55.0,16567,1111508.75,29.5,1
28,1039,0.1,3.0,0.57,26,21.0,1228,0.0,4.0,2
29,1040,3.0,4.0,0.5,12,115.0,5457,55357.24,12.0,2
